"","Period","Species","Area","Centroid_X","Centroid_Y","Elevation","Contraction","Distance","Overlap","Shift_Accelerate","Double_Back","Double_Back_Relative","PoleShift","Elevation_Group","PoleShift_km","Extinction","Extinction_Overlap"
"122","2050","Saxifraga aizoides",704540.96,-32.4835905581432,61.8788419547913,532.61,-0.23,345.131056679332,0.667449007408715,"-1",0,0,3.07657391659275,"0",342.785464590377,0.06,0.1
"123","2050","Saxifraga andersonii",739413.65,89.645633647838,30.210001019228,4790.23,-0.05,23.5886443526563,0.953421505105391,"-1",0,0,0.155441025422803,"1",17.2313643844265,0.01,0.01
"124","2050","Saxifraga androsacea",195348.07,18.3386760439333,58.3939617656201,1422.34,-0.43,181.988404679946,0.567843651196672,"-1",0,0,1.13402659367193,"0",126.301733200935,0.13,0.13
"125","2050","Saxifraga aphylla",4673.85,12.0433488612836,47.264751552795,1741.72,-0.82,92.0968183583749,0.180332083674847,"-1",0,0,-0.255265701448579,"0",28.3800556835584,0.35,0.35
"126","2050","Saxifraga aquatica",30553.87,7.88117912474046,47.1853637597828,1367.64,-0.67,82.5583041150801,0.318195847959761,"1",0,0,-0.111058305796185,"0",12.3469670148609,0.24,0.25
"127","2050","Saxifraga aretioides",15314.81,-3.06860632183908,50.008908045977,791.02,-0.59,304.751606065252,0.390694791393779,"-1",0,0,2.44185551416005,"0",271.548025280996,0.2,0.21
"128","2050","Saxifraga aristulata",135205.13,98.1521384601249,29.369039415656,4314.79,-0.14,32.6078523118233,0.855531199319278,"-1",0,0,0.187267964489539,"1",20.7568416433429,0.04,0.04
"129","2050","Saxifraga aspera",12093.27,6.25382334581773,44.9001508531003,2333.14,-0.53,121.446992133339,0.454715057368608,"-1",0,0,0.603781486413773,"0",67.0945701138916,0.17,0.18
"130","2050","Saxifraga babiana",485.09,-5.4388440860215,42.9576612903226,1835.06,-0.96,128.326659906011,0.0361534287390062,"-1",0,0,0.561047316864347,"0",62.32475444277,0.56,0.56
"131","2050","Saxifraga bergenioides",451937.34,90.6559628366742,28.4847032789144,3890.72,0.29,136.860668827307,0.830800166566942,"-1",0,0,1.08132008803118,"1",119.830343373873,0,0.05
"132","2050","Saxifraga biflora",11456.83,6.32529956427015,46.1048202614379,2373.39,-0.16,104.764087539669,0.676778506823937,"-1",0,0,0.932217584503547,"0",103.61063268365,0.04,0.09
"133","2050","Saxifraga biternata",3677.35,-5.08273809523809,35.2121031746032,1099.32,-0.84,34.8665062218389,0.159362044219975,"1",0,0,-0.311089869099952,"0",34.5145882903668,0.36,0.37
"134","2050","Saxifraga bourgaeana",10515.48,-6.98671310629515,39.0522445820433,816.34,-0.29,363.737073085123,0.321835062459927,"-1",0,0,3.02239164086688,"0",335.448837074109,0.08,0.25
"135","2050","Saxifraga bryoides",29934.97,4.80299851924975,48.2919957222771,1936.16,-0.37,86.2447809637992,0.508348678867657,"1",0,0,0.735518876219494,"0",81.7814959393204,0.11,0.16
"136","2050","Saxifraga burseriana",21859.69,13.360862107127,47.3004371403276,1450.02,-0.29,113.623043675402,0.657345845275077,"-1",0,0,-0.391928895921438,"0",43.5748577959161,0.08,0.1
"137","2050","Saxifraga caesia",22108.98,10.0038795007731,46.5059504086592,2261.55,-0.7,30.751856836772,0.304472944605683,"1",0,0,-0.0315277013967474,"0",3.50466682140628,0.26,0.26
